ID;thesis_title;thesis_keywords;student_faculty;student_level;Problématique;interet;Méthode;technologies;description_sujet
124;Etude de l’impact des méthodes des formulations sur la distribution du squelette granulaire et influence sur les propriétés du béton ordinaire.;distribution du squelette granulaire, méthodes de formulation, propriétés du béton ordinaire, granulométrie, performance mécanique;Genie civil;TECH2;"""Comment l'optimisation de l'empilement granulaire permet-elle de réduire la porosité du béton et d'améliorer sa résistance à la compression ?""";Améliorer la résistance en optimisant le squelette granulaire;Comparaison expérimentale des méthodes d empilement;Betonlab Matlab;Influence de la distribution granulaire sur la porosité
125;ETUDE DE FACTIBILITE ET CALCUL D’UN BARRAGE EN VUE D’IRRIGATION DANS UN DOMAINE AGRICOLE  A KATANA : Cas du Domaine agricole de KAKONDO.;barrage d’irrigation, domaine agricole de Kakondo, Katana, étude de faisabilité, calcul hydraulique, irrigation des cultures;Genie civil;TECH2;"""Comment modéliser le comportement hydraulique et la stabilité structurelle d'un barrage-poids pour optimiser la gestion de l'eau en milieu agricole ?""";Développer l irrigation agricole via une gestion d eau;Calcul de stabilité structurelle et bilan hydraulique;AutoCAD HEC HMS;Etude de faisabilité d un barrage poids au domaine Kakondo
126;La conception et le dimensionnement d'un restaurant vip R+2 avec Hourdis, le cas du campus moise.;restaurant VIP, bâtiment R+2, hourdis, béton armé, campus Moïse, conception architecturale, dimensionnement;Genie civil;L3;"""Comment intégrer les contraintes de sécurité incendie et de confort thermique dans le dimensionnement structurel d'un complexe hospitalier en zone urbaine ?""";Garantir la sécurité et le confort thermique des usagers;Descente de charges et dimensionnement d un plancher hourdis;Robot Structural Revit;Conception structurale d un bâtiment universitaire moderne
127;"Analyse des propriétés mécaniques du béton à base de deux ciments courant à Goma,""cas du ciment Katana et Kabimba""";béton, ciment Katana, ciment Kabimba, propriétés mécaniques, résistance à la compression, étude comparative;Genie civil;L3;"""Quelle est l'influence de la finesse de mouture du ciment local sur la vitesse de durcissement et la fissuration au jeune âge du béton de structure ?""";Optimiser le coût et la qualité via le choix du liant;Essais comparatifs de compression à différents âges;Presse béton Vicat;Etude de l influence de la finesse de mouture sur le béton
128;"Etude comparative de sable utilisée dans la confection du béton en ville de Goma.
Cas du sable de sake et celui d'idjwi";béton, sable de Sake, sable d’Idjwi, granulats, influence sur les propriétés, étude comparative;Genie civil;L3;"""Dans quelle mesure les impuretés organiques et la granulométrie des sables de rivière locaux impactent-elles l'adhérence acier-béton dans les éléments porteurs ?""";Sélectionner les meilleurs granulats pour le béton armé;Analyse granulométrique et tests d impuretés organiques;Appareil de Vicat Labo;Influence de la nature du sable sur l adhérence acier béton
129;"Optimisation  d ' un
système  d'approvisionnement en eau Potable en milieu rural: application  du vilage de Mudja";approvisionnement en eau potable, village de Mudja, milieu rural, captage, dimensionnement hydraulique, gestion durable des ressources en eau;Genie civil;TECH2;"""Comment dimensionner un réseau de distribution d'eau potable pour minimiser les pertes de charge et assurer un débit constant en zone rurale ?""";Minimiser les pertes de charge dans le réseau rural;Calcul de demande et optimisation hydraulique du captage;WaterGEMS GPS;Conception d un système durable de distribution d eau
130;Conception  et dimensionnement d'un réservoir supplémentaire dans la commune rurale de Kabamba en RDC.;réservoir d’eau potable, commune rurale de Kabamba, approvisionnement en eau, stockage supplémentaire, dimensionnement;Genie civil;L3;Quel volume de stockage garantit une distribution continue malgré les variations de pompage ?;Sécurisation de l accès à l eau potable rurale;Calcul besoins et dimensionnement hydraulique;Béton armé, Logiciels RDM;Étude technique d un réservoir pour stabiliser la pression du réseau
131;Conception et dimensionnement du réseau hydraulique d'une piscine olympique dans la ville de Goma;piscine olympique, réseau hydraulique, ville de Goma, circulation de l’eau, traitement, dimensionnement des ouvrages;Genie civil;L3;Comment assurer une filtration et un renouvellement homogène de l eau pour une piscine de grand volume ?;Développement d infrastructures sportives modernes;Calcul débit recyclage et pertes de charge;Pompes, Filtres, Tuyauterie PVC;Circuit de traitement et de circulation d eau pour complexe sportif olympique
132;"CONCEPTION ET DIMENSIONNEMENT D’UN BATIMENT R+1
A USAGE SCOLAIRE, cas du LYCEE NYAKAVOGO à BUKAVU."; bâtiment scolaire, R+1, lycée Nyakavogo, Bukavu, béton armé, conception et dimensionnement;Genie civil;L3;Quelle structure porteuse garantit la sécurité des élèves face aux risques d éboulement ?;Amélioration des infrastructures scolaires à Bukavu;Descente de charges et étude fondations;Béton armé, Robot Analysis;Bâtiment scolaire résistant aux contraintes géotechniques spécifiques de Bukavu
133;«Etude d'amelioration des briques en terre comprimee stabilisée par ciment et la chaux éteinte»cas de sol de kabamba;briques en terre comprimée, stabilisation au ciment, chaux éteinte, sol de Kabamba, propriétés mécaniques, production et qualification;Genie civil;L3;"""Comment l'ajout d'un stabilisant minéral (chaux ou ciment) modifie-t-il la conductivité thermique et la résistance à l'humidité des blocs de terre ?""";Proposer un matériau de construction écologique et isolant;Mesure de conductivité thermique et tests de compression;Presse BTC Labo;Amélioration des briques de terre pour le sol de Kabamba
134;L'évaluation de la conformité des puits de forage de la ville de Goma à la norme AFNOR NFX 10-999;puits de forage, ville de Goma, norme AFNOR NFX 10‑999, conformité, qualité de l’eau, contrôle;Genie civil;TECH2;"""Comment évaluer l'adéquation entre les protocoles de forage locaux et les exigences normatives internationales pour garantir la potabilité et le débit ?""";Certifier la potabilité et le débit des forages locaux;Audit technique selon les protocoles de la norme NFX;Capteurs Débitmètre;Evaluation de la conformité des infrastructures de forage
135;Conception et dimensionnement d'un bassin de rétention dans le quartier Majengo;bassin de rétention, quartier Majengo, gestion des eaux pluviales, inondations, dimensionnement hydraulique;Genie civil;L3;"""Comment dimensionner un système de collecte des eaux pluviales pour prévenir les inondations récurrentes dans un quartier à forte imperméabilisation des sols ?""";Eradiquer les inondations par la gestion des eaux pluviales;Calcul des débits de pointe et dimensionnement du bassin;SSA Civil 3D;Système de collecte et stockage des eaux de ruissellement
136;CONCEPTION ET DIMENSIONNEMENT D’UNE PASSERELLE PIÉTONNE EN B.A AU ROND POINT RUTSHURU;passerelle piétonne, béton armé, rond‑point Rutshuru, conception, dimensionnement, génie civ;Genie civil;L3;Comment concevoir un franchissement sécurisé sans interrompre le flux des poids lourds ?;Sécurité routière et protection des piétons;Étude charpente béton et stabilité;AutoCAD, BAEL, Béton vibré;Passerelle piétonne sécurisant le carrefour du rond-point Rutshuru
137;Conception et dimensionnement d'un bâtiment à usage commercial en béton armé R+1;bâtiment commercial, R+1, béton armé, conception architecturale, dimensionnement des structures;Genie civil;L3;"""Quelle infrastructure de traitement est la plus adaptée pour assurer une gestion hygiénique et environnementale des boues de vidange en milieu urbain dense ?""";Sécuriser les investissements privés via une structure stable;Descente de charges et calcul des portiques béton armé;Robot Structural AutoCAD;Conception structurale complète incluant semelles isolées et poutres
138;"Analyse comparative des approches AASHO et CEBTP pour le dimensionnement des structures de chaussée.
 Cas de l’axe : Paroisse Cathédrale KITUKU - Station Mode ( Ndosho)";dimensionnement des chaussées, approche AASHO, méthode CEBTP, axe Kituku–Station Mode, structures routières;Genie civil;TECH2;"""Quelle méthode de dimensionnement (AASHTO ou CEBTP) offre la structure de chaussée la plus optimisée face aux charges à l'essieu du trafic lourd ?";Optimiser la durée de vie de la route Kituku-Station;Analyse comparative de calcul de corps de chaussée;Alizé-LCPC Guide CEBTP;Étude des épaisseurs de couches pour un trafic lourd sur sol argileux
139;Conception et dimensionnement d’un marché public des voitures des niveaux R+3 à Goma;marché public automobile, bâtiment R+3, ville de Goma, conception, dimensionnement, espaces de stationnement;Genie civil;L3;"""Comment organiser la structure d'un bâtiment commercial R+3 pour maximiser les espaces de circulation tout en assurant une stabilité au feu optimale ?""";Améliorer l organisation spatiale et structurelle du commerce;Calcul de dalles pleines et contreventement par voiles;ETABS Revit;Structure multi-niveaux avec rampe d accès et parkings intégrés
140;Conception et dimensionnement d’un mini système d’adduction d’eau potable dans le quartier kyeshero avenue kyesheni;adduction d’eau potable, quartier Kyeshero avenue Kyesheni, réseau de distribution, approvisionnement en eau, dimensionnement;Genie civil;L3;Quelle architecture de réseau permet de desservir les zones d altitude du quartier Kyeshero ?;Résolution des pénuries d eau en zone urbaine;Modélisation de réseau sous pression;EPANET, Pompes immergées, PEHD;Mini-réseau d adduction d eau potable pour gestion communautaire
141;Conception et installation des fosses septiques préfabriquées en plastiques utilisées dans les zones rocheuses ( ville de goma) application de la méthode canadienne.;fosses septiques préfabriquées, plastique, zones rocheuses, méthode canadienne, ville de Goma, assainissement;Genie civil;L3;"""Dans quelle mesure l'utilisation de fosses septiques en polymères préfabriquées améliore-t-elle l'étanchéité et la rapidité de mise en œuvre par rapport au béton ?""";Proposer des solutions d assainissement en zone rocheuse;Etude d installation et résistance aux pressions du sol;Méthode Canadienne Labo;Avantages des fosses préfabriquées face à la maçonnerie classique
142;Conception et dimensionnement d’un immeuble à R+2 à usage d’un marché en ville de Goma;marché couvert, immeuble R+2, ville de Goma, béton armé, conception et dimensionnement;Genie civil;L3;"""Comment assurer la descente de charges et le contreventement d'un immeuble résidentiel R+2 en zone de sismicité modérée ?""";Créer des infrastructures publiques résilientes et aérées;Dimensionnement béton armé et étude de la toiture métallique;Robot Structural ArchiCAD;Conception mixte béton-acier pour de grandes portées sans poteaux centraux
143;Conception d'une chaussée et d'un système de canalisation : Application sur le tronçon Saint-Vincent de Paul-un jour nouveau.;chaussée urbaine, système de drainage, tronçon Saint‑Vincent de Paul–Un Jour Nouveau, évacuation des eaux, conception routière;Genie civil;L3;"""Comment concevoir une synergie efficace entre le profil en travers d'une route et son réseau d'évacuation pour prolonger la durée de vie du revêtement ?""";Prévenir la ruine des routes par une évacuation efficace;Conception du profil en travers et calcul hydraulique;Covadis Civil 3D;Synergie entre la structure de chaussée et le réseau de caniveaux
144;Amélioration de la capacité portante des sols sableux par stabilisation chimique et par ajout des matériaux stabilisant, cas des sols de la ville d'uvira au sud-kivu;sols sableux, capacité portante, stabilisation chimique, matériaux stabilisants, ville d’Uvira, Sud‑Kivu;Genie civil;TECH2;"""Quels sont les dosages optimaux de liants hydrauliques nécessaires pour transformer un sol argileux instable en une plateforme de chaussée performante ?";Stabiliser les sols de la ville d Uvira pour la construction;Stabilisation chimique par liants hydrauliques;Essai CBR Pénétromètre;Amélioration des propriétés géotechniques des sols d Uvira
145;Diagnostic et renforcement du réseau d’alimentation en eau potable du quartier Kasika à Goma;réseau d’alimentation en eau potable, quartier Kasika, Goma, diagnostic hydraulique, renforcement, milieu urbain;Genie civil;TECH2;"""Comment évaluer les désordres structurels d'un bâtiment existant et définir les techniques de chemisage ou de renfort pour assurer sa pérennité ?";Réduire les pertes et améliorer la desserte en eau;Audit hydraulique et calcul de renforcement de pression;WaterGEMS EPANET;Étude des fuites et optimisation des diamètres de canalisation
146;Modélisation et analyse d'un nouveau réseau d'approvisionnement en eau potable : cas du quartier Virunga;approvisionnement en eau potable, modélisation hydraulique, besoins en eau, milieu urbain;Genie civil;TECH2;"""Comment optimiser la sectorisation d'un réseau d'eau potable pour réduire les pertes physiques et garantir une pression de service à chaque branchement ?""";Garantir l accès à l eau potable en zone urbaine dense;Modélisation des besoins et sectorisation du réseau;ArcGIS WaterGEMS;Conception d une infrastructure moderne pour nouveaux quartiers
147;Etude comparative des propriétés des bétons formulés par la méthode d'indices pondéraux de Faury et la méthode de Dreux-Gorisse .;formulation du béton, méthode Faury, méthode Dreux‑Gorisse, indices pondéraux, propriétés mécaniques, résistance;Genie civil;L3;La méthode des indices pondéraux offre-t-elle une meilleure maniabilité du béton que Dreux ?;Optimisation de la mise en œuvre sur les chantiers;Essais labo (affaissement, compression);Presse béton, Granulats, Adjuvants;Analyse comparative des performances de formulation du béton
148;Contribution à l'étude des inondations dans la ville de Goma :application dans le quartier Murara;inondations urbaines, quartier Murara, ville de Goma, facteurs aggravants, mesures de mitigation;Genie civil;TECH2;"""Quelles sont les causes hydrauliques des inondations dans le bassin versant urbain et quelles mesures de rétention peuvent limiter les débits de pointe ?""";Atténuer les dégâts matériels causés par les crues;Diagnostic des causes hydrauliques et plan de drainage;HEC-RAS Global Mapper;Identification des goulots d étranglement dans le bassin versant
149;Étude de l'influence du taux d'absorption d'eau des granulats sur les propriétés des bétons.;granulats, taux d’absorption d’eau, propriétés du béton, durabilité, résistance mécanique;Genie civil;TECH2;"""Quelle est l'influence de la porosité intrinsèque des granulats volcaniques sur la demande en eau du béton et sa résistance à la compression finale ?""";Comprendre l impact des granulats volcaniques sur la force;Essais de porosité et tests de rupture à la compression;Presse béton Balance;Influence de l eau absorbée par les pores sur le rapport E/C
150;ETUDE MÉCANIQUE ET ÉCONOMIQUE DU BÉTON AUX GRAVIERS CONCASSÉS ET DU BÉTON AUX GRAVIERS TOUT-VENANTS CONFECTIONNÉS À GOMA.;béton, graviers concassés, graviers tout‑venants, étude mécanique, analyse économique, ville de Goma;Genie civil;L3;"""Quelle est l'influence de la forme et de l'angularité des granulats sur l'adhérence de la pâte de ciment et la compacité du béton ?""";Comparer la rentabilité et la force mécanique des mélanges;Analyse granulaire et bilan économique par m3;Norme NF Essai Los Angeles;Étude de l adhérence pâte-granulat selon la forme des pierres
151;Formulation d’un béton auto-plaçant à base des granulats courants par ajout des additifs < cas de la ville de Goma >;béton auto‑plaçant, granulats courants, adjuvants, rhéologie, ville de Goma;Genie civil;TECH2;"""Comment optimiser le dosage en superplastifiants et en fines pour garantir la fluidité et la stabilité d'un béton auto-plaçant avec des matériaux locaux ?""";Faciliter le bétonnage dans les zones de ferraillage dense;Optimisation de la rhéologie par adjuvants et fines;Slump-Test Viscosimètre;Formulation d un béton fluide ne nécessitant pas de vibration
152;"ETUDE COMPARATIVE ENTRE
UN MUR POIDS ET UN MUR
CANTILEVER CONSTRUITS
SUR LA ROUTE D'ACCÈS AU
PORT DE GOMA EN VUE DE
LA STABILISATION DU TALUS ROUTIER.";mur poids, mur cantilever, stabilisation de talus routier, route d’accès au port de Goma, soutènement;Genie civil;TECH2;"""Quelle variante entre un mur-poids et un mur cantilever offre la meilleure stabilité globale face aux poussées de terres d'un remblai routier ?""";Protéger la route d accès au port contre les glissements;Analyse de stabilité au renversement et au glissement;Plaxis Géo-Slope;Choix de la variante la plus stable pour la route du port de Goma
153;Conception et dimensionnement d'un bâtiment R+1 servant de home pour étudiants de l'UNIGOM;bâtiment résidentiel étudiant, R+1, UNIGOM, béton armé, conception, dimensionnement;Genie civil;L3;"""Comment dimensionner une structure éducative R+1 pour assurer une descente de charges sécurisée sur un sol à portance modérée ?""";Améliorer les conditions de logement estudiantin;Descente de charges et calcul de portiques béton armé;Robot Structural Revit;Conception d une structure d hébergement sécurisée et fonctionnelle
154;Etude technico-économique d’une route en pavée basaltique : Cas du tronçon entrée maman gouverneur-kibwe à Goma; route pavée basaltique, tronçon Entrée Maman Gouverneur–Kibwe, dimensionnement de chaussée, pavés en basalte;Genie civil;L3;"""Comment assurer la durabilité d'un revêtement en pavés sous un trafic urbain dense en optimisant le drainage et la couche de fondation ?""";Valoriser les ressources locales pour la voirie urbaine;Analyse technico économique et étude de portance du sol;Logiciel Alizé Guide CEBTP;Comparaison de durabilité entre revêtement souple et pavés
155;Conception et dimensionnement d’une ossature en béton armé : Cas du marché de la nouvelle ville de Sake;ossature en béton armé, marché de la nouvelle ville de Sake, conception structurale, dimensionnement, portiques;Genie civil;L3;"""Comment concevoir une ossature en béton armé rigide capable de supporter les charges d'exploitation tout en respectant les normes de sécurité ?""";Sécuriser les espaces de commerce péri urbains;Dimensionnement d une structure rigide en béton armé;AutoCAD Robot Structural;Etude structurale d une halle de marché à grandes portées
156;INFLUENCE DE LA TAILLE ET DU TYPE DES GRANULATS SUR LES PROPRIÉTÉS DU BÉTON :CAS DES GRANULATS COURAMMENT UTILISÉS À GOMA.;granulats courants à Goma, taille des granulats, nature des granulats, influence sur propriétés mécaniques du béton;Genie civil;TECH2;"""Quelle est l'influence du diamètre maximal des granulats (Dmax) sur la porosité, la perméabilité et la résistance mécanique du béton de structure ?""";Optimiser la compacité et la résistance du béton local;Analyse de l influence du Dmax sur la porosité finale;Tamis vibrants Presse béton;Etude expérimentale sur la qualité des mélanges avec granulats de Goma
157;ETUDE DES PROPRIETES DES BETONS ORDINAIRES OBTENUS PAR MELANGE MANUEL ET MELANGE MECANISE : ETUDE DE CAS;béton ordinaire, mélange manuel, mélange mécanisé, qualité du malaxage, comparaison expérimentale;Genie civil;L3;"""Dans quelle mesure le mode de malaxage influence-t-il l'homogénéité du mélange et la dispersion des résistances caractéristiques du béton ?""";Garantir l homogénéité du béton sur les chantiers locaux;Comparaison des résistances mécaniques par mode de malaxage;Bétonnière Essai d affaissement;Evaluation de la perte de qualité liée au malaxage manuel traditionnel
158;Analyse du comportement non linéaire des poutres mixtes acier-béton sous sollicitations dynamique;poutres mixtes acier‑béton, comportement non linéaire, sollicitations dynamiques, modélisation numérique;Genie civil;TECH2;"""Comment modéliser le comportement de la connexion acier-béton dans les poutres mixtes soumises à des charges cycliques ou dynamiques ?""";Maîtriser les comportements complexes des structures hybrides;Analyse non linéaire et modélisation de la connexion;ANSYS Robot Structural;Etude de la ductilité et de la résistance sous sollicitations dynamiques
159;conception et dimensionnement d'un immeuble d'habitation R+3 en bois;bâtiment R+3 en bois, CLT, lamellé‑collé, systèmes poteaux‑poutres, ossatures bois, conception et dimensionnemen;Genie civil;L3;Comment assurer la résistance au feu et la stabilité structurelle d un bâtiment R+3 en bois ?;Promotion de matériaux écologiques à Goma;Calcul structures bois (Eurocode 5);Bois CLT, Logiciels RDM;Structure bois durable avec passerelle vers l analyse du cycle de vie (ACV)
160;REHABILITATION DE LA CHAUSSEE ENTRE SAKE ET MUSHAKI : ETUDE COMPARATIVE DE LA METHODE CEBTP 1984 ET CEBTP REVISEE 2018;chaussée Sake–Mushaki, méthode CEBTP 1984, CEBTP révisée 2018, étude comparative, structure de chaussée;Genie civil;L3;"""Comment évaluer l'état de dégradation d'une route de montagne pour proposer une technique de réhabilitation adaptée au trafic lourd et au relief ?""";Prolonger la durée de vie des axes routiers de montagne;Étude comparative des méthodes CEBTP 1984 et 2018;Logiciel Alizé Pénétromètre;Diagnostic de dégradation et proposition d une nouvelle structure
161;Analyse comparative des comportements des fondations superficielles ( semelles isolées vs semelles filantes ) vis à vis de leurs capacités à stabiliser un bâtiment face aux charges et surcharge du bâtiment et beaucoup plus aux efforts paracismique;fondations superficielles, semelles isolées, semelles filantes, stabilité sismique, capacité portante, bâtiment;Genie civil;TECH2;"""Quel type de fondation superficielle permet de minimiser les tassements différentiels pour un bâtiment long sur un sol hétérogène ?""";Prévenir les tassements différentiels en zone sismique;Étude comparative semelles isolées vs filantes vs radiers;Plaxis Robot Structural;Optimisation du type de fondation selon la capacité portante du sol
162;"Étude des dispositions des voiles par rapport aux joints parasismiques en fonction de la hauteur et de la largeur d'une structure en béton armé R+10.
''Cas d'un bâtiment administratif dans la ville de Goma''";voiles en béton armé, joints parasismiques, bâtiment administratif R+10, ville de Goma, comportement sismique;Genie civil;TECH2;"""Comment la répartition géométrique des voiles de contreventement influence-t-elle la période de vibration et la stabilité d'un bâtiment de grande hauteur ?""";Assurer la stabilité des immeubles de grande hauteur;Étude géométrique des voiles face aux joints parasismiques;ETABS Revit Structure;Analyse de la rigidité torsionnelle pour limiter les déplacements
163;"Évaluation de la durabilité des infrastructures de transports en milieu urbain.
Cas de la ville de Goma";infrastructures de transport, ville de Goma, durabilité, trafic urbain, facteurs environnementaux;Genie civil;L3;"""Comment l'environnement agressif et l'intensité du trafic influencent-ils la cinétique de dégradation des infrastructures routières urbaines ?""";Anticiper le vieillissement des infrastructures de Goma;Analyse des facteurs environnementaux et cinétique de dégradation;Logiciel de maintenance Labo;Etude de l impact du trafic dense sur la pérennité des ouvrages
164;ETUDE COMPARATIVE DES PROPRIETES DU BETON ISSU DU SABLE MONT-GOMA ET CELLE DU BETON ISSU DU SABLE SAKE;béton, sable, Mont-Goma, Sake, comparaison, propriétés, durabilité;Genie civil;L3;"""Quelles sont les différences de performances mécaniques entre un béton à base de sable volcanique et un béton à base de sable de rivière ?";Identifier les meilleurs matériaux pour le béton de structure;Comparaison des propriétés mécaniques et de durabilité;Appareil de Vicat Labo BTP;Influence de la nature minéralogique du sable sur la force du béton
165;Prédiction du dosage en ciment par les réseaux des neurones artificiels : Application en vue de la substitution de l'abaque de Dreux-Gorisse.;abaque de Dreux-Gorisse, dosage en ciment, réseaux de neurones artificiels, prédiction, béton;Genie civil;L3;"""Comment l'utilisation de l'intelligence artificielle permet-elle de prédire avec précision la résistance du béton en fonction de la composition du mélange ?""";Moderniser les méthodes de formulation du béton;Prédiction du dosage via intelligence artificielle et abaques;Python Matlab;Application de l IA pour optimiser la méthode Dreux Gorisse
166;Analyse de la résistance des structures à l’impact;structure, résistance des structures, impact, sollicitations dynamiques;Genie civil;L3;"""Comment dimensionner les éléments porteurs pour résister à des charges impulsives ou à des impacts accidentels sans effondrement progressif ?""";Protéger les structures contre les chocs accidentels;Analyse de la réponse structurale sous sollicitations dynamiques;Abaqus Robot Structural;Dimensionnement d éléments porteurs pour résister aux charges impulsives
167;Conception et dimensionnement d'une école de police( bâtiment R+3),situé à Goma dans le quartier muginga( bâtiment servant pour le cas de formation de la police);école de police, bâtiment R+3, Mugunga, conception architecturale, dimensionnement;Genie civil;L3;"""Comment concevoir un bâtiment scolaire R+3 alliant une sécurité structurelle parasismique et une optimisation des espaces de circulation ?""";Concevoir un bâtiment public sécurisé et durable;Calcul structural parasismique et conception architecturale;Robot Structural ArchiCAD;Etude d un établissement scolaire alliant sécurité et accessibilité
168;Conception et dimensionnement de poutres croisées cas d’une salle de fête à R+2;poutres croisées, salle de fête R+2, béton armé, conception, dimensionnement;Genie civil;L3;"""Comment adapter les normes de conception thermique et hydraulique des bâtiments face à l'augmentation des températures et des précipitations extrêmes ?""";Franchir de grandes portées sans poteaux intermédiaires;Calcul de grillage de poutres et vérification de la flèche;Robot Structural AutoCAD;Conception d une toiture complexe pour grand volume intérieur
169;Dimensionnement et conception d’un centre pour handicapés R+1;centre pour handicapés, bâtiment R+1, rampe, conception architecturale, dimensionnement;Genie civil;L3;Comment concevoir une structure R+1 respectant les normes d accessibilité universelle ?;Inclusion sociale et soins spécialisés;Plans archi et calcul béton;AutoCAD, Robot Analysis;Centre spécialisé pour handicapés avec circulation ergonomique
170;""" Analyse de l'impact du changement climatique sur la conception des bâtiments selon les normes et réglementations dans la ville de GOMA. """;changement climatique, conception des bâtiments, normes, réglementations, ville de Goma;Genie civil;L3;"""Comment intégrer des matériaux à faible empreinte carbone et des techniques de construction rapide pour produire des logements sociaux durables ?""";Adapter le bâti aux nouvelles contraintes environnementales;Intégration de matériaux bas carbone et efficacité thermique;DesignBuilder Revit;Révision des protocoles de conception face au réchauffement local
171;Étude de la conception et de la construction de logements sociaux durables à Goma pour répondre aux besoins croissants de la population.;logements sociaux, Goma, construction durable, habitat urbain, besoins croissants;Genie civil;L3;"""Quelles sont les dispositions constructives majeures à respecter pour garantir la ductilité d'une structure en béton armé en zone de forte sismicité ?""";Répondre au besoin croissant d habitat à Goma;Étude de construction durable et matériaux à faible coût;AutoCAD Project;Optimisation des coûts pour une production de masse de logements
172;l'influence de la classe de résistance du ciment sur les propriétés mécaniques et la durabilité du mortier de crépissage;ciment, classe de résistance, mortier de crépissage, durabilité, propriétés mécaniques;Genie civil;L3;Quel est l impact réel du choix de la classe de ciment sur la résistance des enduits ?;Optimisation de la qualité des finitions;Essais traction et compression;Ciment, Malaxeur, Presse;Étude expérimentale pour le choix des matériaux de mortier durable
173;Étude expérimentale des caractéristiques physiques et mécaniques des liants hydrauliques à l'aide des essais au laboratoire, cas spécifique du ciment de KATANA;ciment de Katana, liants hydrauliques, essais de laboratoire, caractéristiques physiques, caractéristiques mécaniques;Genie civil;L3;Le ciment de Katana répond-il aux normes de résistance pour les structures porteuses ?;Valorisation de la production locale;Analyses chimiques et essais;Laboratoire matériaux;Évaluation de la performance du ciment local pour la construction
174;Étude de la durabilité et de la résistance des structures métal-bois par rapport aux constructions en béton et Analyse comparative des coûts de construction dans la ville de goma;durabilité ,resistance, structures metal-bois;Genie civil;L3;Quels sont les avantages d une structure mixte métal-bois pour les bâtiments légers ?;Promotion de méthodes de construction rapides;Analyse comparative coûts/RDM;Logiciels RDM, Eurocodes;Étude structurelle innovante basée sur les matériaux biosourcés
175;Étude préliminaire pour l'installation d'un système de captage d'eau sur la rivière Ruzizi à Bukavu en vue de l'approvisionnement en eau potable de la commune d'Ibanda;captage d’eau, rivière Ruzizi, Bukavu, commune d’Ibanda, approvisionnement en eau potable;Genie civil;L3;Comment dimensionner l ouvrage de prise d eau pour garantir un débit constant ?;Approvisionnement en eau potable (Ibanda);Étude hydrologique et topographie;Station pompage, Génie hydraulique;Avant-projet technique pour le captage sur la rivière Ruzizi
176;Calcul des structures dans une zone sismique, cas de la construction d'une structure à Goma;structures, zone sismique, calcul structural, génie civil, maçonnerie, normes parasismiques, goma, sécurité structurelle;Genie civil;L3;"""Comment identifier les pathologies liées aux remontées capillaires et concevoir des solutions d'étanchéité pérennes pour les bâtiments existants ?""";Eradiquer les pathologies liées aux séismes et à l humidité;Calcul structural maçonnerie et traitement remontées capillaires;Robot Structural Labo;Conception de solutions constructives pour zone à risque majeur
177;Etude des causes de la dégradation des ouvrages de la maçonnerie dû à l'humidité dans la ville de Goma et mode de prévention;maçonnerie, humidité, dégradation des ouvrages, pathologie des constructions, prévention, durabilité, goma;Genie civil;L3;"""Comment évaluer la vulnérabilité sismique d'un pont et définir des stratégies de renforcement pour garantir sa fonctionnalité après un séisme ?""";Prolonger la vie des bâtiments anciens de la ville;Diagnostic pathologique et tests d humidité ascensionnelle;Humidimètre Labo BTP;Identification des causes de dégradation et solutions d étanchéité
178;Évaluation de la résilience des infrastructures de transport face aux événements climatiques extrêmes, cas de la route Hypaudrome dans la ville de Bukavu;résilience, infrastructures de transport, événements climatiques extrêmes, adaptation climatique, routes, bukavu;Genie civil;L3;"""Quels sont les indicateurs de vulnérabilité structurelle permettant de hiérarchiser les besoins en réhabilitation parasismique d'un parc immobilier ?""";Assurer la continuité du trafic face aux aléas climatiques;Analyse de vulnérabilité et matrice de risques naturels;ArcGIS Logiciel de gestion;Stratégies d adaptation des routes face aux pluies torrentielles
179;Étude comparative des comportements mécaniques des bétons confectionnés à base des ciment courants à Goma et du gravier tout venant.;béton, ciment courant, granulats, gravier tout venant, comportement mécanique, étude comparative;Genie civil;L3;"""Comment dimensionner un système de drainage efficace pour éliminer les eaux stagnantes et protéger les fondations des bâtiments en zone urbaine ?""";Optimiser les mélanges avec les matériaux disponibles à Goma;Essais comparatifs de flexion et de compression;Presse hydraulique Vicat;Étude de l influence de la marque du ciment sur la prise du béton
180;Étude comparative des propriétés mécaniques et de la durabilité entre le béton traditionnel(ordinaire) et le béton à haute performance.;béton ordinaire, béton haute performance, propriétés mécaniques, durabilité, comparaison des matériaux;Genie civil;L3;Dans quel cas l utilisation du BHP est-elle économiquement viable par rapport au béton ordinaire ?;Optimisation structurelle pour grands ouvrages;Comparaison contrainte-déformation;Adjuvants, Fumée de silice;Étude du béton haute performance avec passerelle vers la rhéologie
181;Évaluation de la vulnérabilité des bâtiments à plusieurs étages face aux séismes à l’Est de la RDC avec recommandation pour renforcer la sécurité structurelle.;bâtiments à étages, séismes, vulnérabilité structurelle, sécurité parasismique, est rdc;Genie civil;L3;"""Comment la distribution granulométrique influence-t-elle la demande en pâte de ciment et la durabilité à long terme d'un béton ordinaire ?""";Garantir la sécurité des habitants de l Est de la RDC;Analyse modale spectrale et calcul de contreventement;ETABS Robot Structural;Dimensionnement parasismique d immeubles hauts en zone volcanique
